Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
"Гравійний велосипед Cube Nuroad Race 2020, GRX, 56 рама",36 000 грн.,Б/у,2022-03-15,Ивано-Франковск,,"48.91819, 24.71343",Urban Bike Club,Urban Bike Club,https://www.olx.ua/d/obyavlenie/gravyniy-velosiped-cube-nuroad-race-2020-grx-56-rama-IDOhUkU.html
Гравийний grevel гравел Хромоль ! GRX ! Brooks ! Marin Cube Giant Trek,32 500 грн.,Б/у,2021-07-10,Тернополь,,"49.56069, 25.61132",хххРОМАххх,,https://www.olx.ua/d/obyavlenie/graviyniy-grevel-gravel-hromol-grx-brooks-marin-cube-giant-trek-IDM9ayf.html
SCOTT Contessa Speedster Gravel 25 (2021) (рама М),33 961 грн.,Б/у,2022-05-01,Гатное,,"50.36166, 30.39784",Виктория,,https://www.olx.ua/d/obyavlenie/scott-contessa-speedster-gravel-25-2021-rama-m-IDOvfOu.html
Гравел Scott spidster10 (М),34 600 грн.,Б/у,2022-05-30,Белки,,"48.32948, 23.11653",артур,,https://www.olx.ua/d/obyavlenie/gravel-scott-spidster10-m-IDOK8zZ.html
Гравел Canyon inflite ALL,36 100 грн.,Б/у,2022-05-15,Галич,,"49.11, 24.73",Михаил,velogarage,https://www.olx.ua/d/obyavlenie/gravel-canyon-inflite-all-IDOCB1Z.html
Велосипед гравел Cube Nuroad cannondale Merida trek canyon specialized,36 500 грн.,Б/у,2022-03-17,Киев,Днепровский,"50.45964, 30.61717",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-cannondale-merida-trek-canyon-specialized-IDOigqN.html
"Гравийный велосипед 28"" CYCLONE GSX - 2022 black 700c-GSX  54 (47cm)",36 678 грн.,Невідомо,2022-02-12,Киев,Голосеевский,"50.35684, 30.51985",Вакуленко Вакуленко,,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-28-cyclone-gsx-2022-black-700c-gsx-54-47cm-IDO9PHu.html
Гравел велосипед Stevens Gavere gravel cube scott canyon giant bmc gt,36 914 грн.,Б/у,2021-08-19,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/gravel-velosiped-stevens-gavere-gravel-cube-scott-canyon-giant-bmc-gt-IDMuwdE.html
Gravel Stevens Supreme scott specialized fuji canyon rondo cube trek,36 914 грн.,Б/у,2021-09-30,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/gravel-stevens-supreme-scott-specialized-fuji-canyon-rondo-cube-trek-IDMTxQA.html
"Велосипед Cube Nuroad Race Hpa 28"", рама L. Большой выбор велосипедов.",36 914 грн.,Б/у,2022-02-15,Вишневое,,"50.38803, 30.37538",Вадим,Веломагазин Bikecenter - ...,https://www.olx.ua/d/obyavlenie/velosiped-cube-nuroad-race-hpa-28-rama-l-bolshoy-vybor-velosipedov-IDObfiV.html
Гравел Trek Crockett 5 GRX 22 Speed Disc Scott Cube Giant Specialized,36 914 грн.,Б/у,2021-06-29,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/gravel-trek-crockett-5-grx-22-speed-disc-scott-cube-giant-specialized-IDM2Yek.html
Cube Nuroad Pro 2021 scott trek specializet giant,37 000 грн.,Новый,2021-04-23,Ужгород,,"48.61981, 22.29811",Паша,VELOFAN,https://www.olx.ua/d/obyavlenie/cube-nuroad-pro-2021-scott-trek-specializet-giant-IDLqx7P.html
Гравел Kellys Soot 70 2020 M (515 мм),37 100 грн.,Б/у,2022-04-14,Сумы,,"50.9074, 34.80236",Дмитрий,,https://www.olx.ua/d/obyavlenie/gravel-kellys-soot-70-2020-m-515-mm-IDOpQar.html
Гравел Scott speedster 30 GRX (2020) велосипед,37 500 грн.,Б/у,2021-12-15,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/gravel-scott-speedster-30-grx-2020-velosiped-IDNDLGs.html
Cannondale topstone 3 gravel Sora гравел велосипед,37 000 грн.,Б/у,2022-06-02,Бровары,,"50.50568, 30.77972",Anthony,,https://www.olx.ua/d/obyavlenie/cannondale-topstone-3-gravel-sora-gravel-velosiped-IDOMd05.html
Гравел Stevens Gavere GRX гравийный велосипед циклокросс из Германии,37 900 грн.,Б/у,2022-02-03,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/gravel-stevens-gavere-grx-graviynyy-velosiped-tsiklokross-iz-germanii-IDO436D.html
Велосипед Marin DSX1 размер s монстер кросс гравел gravel гревел байк,45 000 грн.,Б/у,2022-06-01,Софиевская Борщаговка,,"50.41437, 30.36408",Ola,,https://www.olx.ua/d/obyavlenie/velosiped-marin-dsx1-razmer-s-monster-kross-gravel-gravel-grevel-bayk-IDOLZSd.html
Scott speedster gravel 20 2021 cube trek specialized giant bianchi gt,37 598 грн.,Б/у,2021-10-30,Ивано-Франковск,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/obyavlenie/scott-speedster-gravel-20-2021-cube-trek-specialized-giant-bianchi-gt-IDNaoCD.html
Gravel/Endurance велосипед Bergamont Grandurance RD 7 2020,37 652 грн.,Б/у,2021-12-25,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-endurance-velosiped-bergamont-grandurance-rd-7-2020-IDNIZ0n.html
"Циклокросс Canyon Inflite AL 9.0 p.XL (gravel,гравел,грейвл,гравийник)",37 652 грн.,Б/у,2022-03-20,Ивано-Франковск,,"48.91819, 24.71343",VeloPark,,https://www.olx.ua/d/obyavlenie/tsiklokross-canyon-inflite-al-9-0-p-xl-gravel-gravel-greyvl-graviynik-IDOiONj.html
Cross / Gravel велосипед Cannondale CAADX Ultegra disc 2018,37 800 грн.,Б/у,2021-10-05,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/cross-gravel-velosiped-cannondale-caadx-ultegra-disc-2018-IDMVxOx.html
Gravel велосипед GT Grade Carbon 2017,37 800 грн.,Б/у,2021-10-05,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-velosiped-gt-grade-carbon-2017-IDMVzYF.html
Gravel/Cross велосипед BMC Roadmachine X Gravel Bike Sram Rival,37 800 грн.,Б/у,2021-11-21,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-cross-velosiped-bmc-roadmachine-x-gravel-bike-sram-rival-IDNnKXv.html
Gravel велосипед GT Grade 2017,37 800 грн.,Б/у,2021-04-26,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-velosiped-gt-grade-2017-IDLsxdP.html
Гравійний велосипед Gravel Giant TCX SRL 2 (2020) ЯК НОВИЙ,37 800 грн.,Б/у,2022-05-14,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/gravyniy-velosiped-gravel-giant-tcx-srl-2-2020-yak-noviy-IDOCmra.html
Велосипед алюм гревел Crosser Gravel NORD 28 Trek GT гравел циклокросс,8 990 грн.,Новый,2021-06-02,Днепр,Центральный,"48.463, 35.02387",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/velosiped-alyum-grevel-crosser-gravel-nord-28-trek-gt-gravel-tsiklokross-IDLNTAv.html
Велосипед гравійник Gravel Bulls,15 800 грн.,Б/у,2022-02-20,Луцк,,"50.74158, 25.28939",Вадім,Велосипеди та Лижі з Європи,https://www.olx.ua/d/obyavlenie/velosiped-gravynik-gravel-bulls-IDOetdD.html
"Велосипед циклокросс гравийник, gravel, cx, merida",16 000 грн.,Б/у,2022-02-03,Луганск,Жовтневый,"48.574, 39.308",Кирилл,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokross-graviynik-gravel-cx-merida-IDO4aj6.html
Велосипед Cube nuroad gravel,38 000 грн.,Б/у,2022-04-19,Винница,Замостянский,"49.248, 28.519",VK,,https://www.olx.ua/d/obyavlenie/velosiped-cube-nuroad-gravel-IDOrwtW.html
Гревел/циклокросс Gravel Cube Cross Race XL,38 000 грн.,Б/у,2022-05-14,Вараш,,"51.34366, 25.84909",Руслан,,https://www.olx.ua/d/obyavlenie/grevel-tsiklokross-gravel-cube-cross-race-xl-IDOC54i.html
туринг гравел хромолева рама планетарка alfine 11 cr-mo pinion ремень,38 095 грн.,Новый,2020-12-06,Львов,Сиховский,"49.792, 24.064",Роман,,https://www.olx.ua/d/obyavlenie/turing-gravel-hromoleva-rama-planetarka-alfine-11-cr-mo-pinion-remen-IDK3843.html
Гравел Bianchi Allroad Tiagra Disc 11 Cube Trek Scott,38 390 грн.,Б/у,2021-11-18,Киев,Дарницкий,"50.40931, 30.69263",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/gravel-bianchi-allroad-tiagra-disc-11-cube-trek-scott-IDNlUSW.html
Велосипед Scott Speedster Gravel 30 2020 Trek Giant Cube Specialized,38 981 грн.,Б/у,2021-12-17,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/velosiped-scott-speedster-gravel-30-2020-trek-giant-cube-specialized-IDNEBXA.html
Велосипед гравел Bergamont Grandurance canyon cube trek triban ktm,39 200 грн.,Б/у,2022-03-17,Киев,Днепровский,"50.45964, 30.61717",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-gravel-bergamont-grandurance-canyon-cube-trek-triban-ktm-IDOigZs.html
Велосипед Gravel Stevens Supreme cube trek scott cannondale merida,39 867 грн.,Б/у,2021-09-30,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-gravel-stevens-supreme-cube-trek-scott-cannondale-merida-IDMTxXP.html
Новый Gravel / Endurance велосипед AUTHOR Aura XR 5 2020,39 867 грн.,Б/у,2021-12-25,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/novyy-gravel-endurance-velosiped-author-aura-xr-5-2020-IDNJj1e.html
Гравел Stevens Supreme GRX 2020. Cube Scott Specialuzed Cannondale KTM,39 867 грн.,Б/у,2021-04-20,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/gravel-stevens-supreme-grx-2020-cube-scott-specialuzed-cannondale-ktm-IDLo9OB.html
On One Pompetamine,39 999 грн.,Б/у,2022-05-20,Ивано-Франковск,,"48.91819, 24.71343",Антон,,https://www.olx.ua/d/obyavlenie/on-one-pompetamine-IDOEUsT.html
Гравел DeMaRCHE Stone,17 500 грн.,Новый,2022-05-28,Одесса,Малиновский,"46.46309, 30.67813",Юрий,,https://www.olx.ua/d/obyavlenie/gravel-demarche-stone-IDOJxp9.html
Туринг Bulls Daily гравел циклокрос из Германии (как новый),20 967 грн.,Б/у,2021-12-19,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/turing-bulls-daily-gravel-tsiklokros-iz-germanii-kak-novyy-IDNFHWW.html
Новий карбоновий велосипед гревел  Twitter Gravel.,34 000 грн.,Новый,2021-08-14,Киев,Подольский,"50.49575, 30.43854",Виталий,,https://www.olx.ua/d/obyavlenie/noviy-karbonoviy-velosiped-grevel-twitter-gravel-IDMrRRs.html
Продам крос/гравел ракету Giant TCX SLR 1 2018,40 000 грн.,Б/у,2022-05-11,Киев,Шевченковский,"50.47135, 30.4624",Игорь,,https://www.olx.ua/d/obyavlenie/prodam-kros-gravel-raketu-giant-tcx-slr-1-2018-IDOAApk.html
"Cube, гревел, циклокрос, gravel, гравійний.",40 000 грн.,Б/у,2022-05-21,Черновцы,,"48.3, 25.93",павло,,https://www.olx.ua/d/obyavlenie/cube-grevel-tsiklokros-gravel-gravyniy-IDOFLyd.html
Гравийный велосипед Cube Nuroad scott trek specialized bianchi canyon,41 343 грн.,Б/у,2021-11-04,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-cube-nuroad-scott-trek-specialized-bianchi-canyon-IDNduT2.html
Гравійний велосипед Gravel Orbea Terra H30 1X (2021) ЯК НОВИЙ,41 500 грн.,Б/у,2022-05-14,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/gravyniy-velosiped-gravel-orbea-terra-h30-1x-2021-yak-noviy-IDOCnle.html
Циклокросс FOCUS Mares CX carbon XXLр-р гидравлика диск гравел,41 876 грн.,Б/у,2021-08-06,Киев,Днепровский,"50.45964, 30.61717",Игорь,Shara Velo,https://www.olx.ua/d/obyavlenie/tsiklokross-focus-mares-cx-carbon-xxlr-r-gidravlika-disk-gravel-IDMnlgr.html
Gravel Rondo Ruut 2021 гравел specialized canyon ktm cube trek,42 820 грн.,Б/у,2021-09-22,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/gravel-rondo-ruut-2021-gravel-specialized-canyon-ktm-cube-trek-IDMO3Fc.html
Велосипед gravel Stevens Gavere гравел cube scott merida rondo canyon,42 820 грн.,Б/у,2021-10-01,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-gravel-stevens-gavere-gravel-cube-scott-merida-rondo-canyon-IDMU5Kg.html
Циклокрос Canyon Inflite AL SLX 5.0 (2019) Гравел,43 000 грн.,Б/у,2022-04-15,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/tsiklokros-canyon-inflite-al-slx-5-0-2019-gravel-IDOqiAB.html
Циклокросс (gravel) Giant TCX Advanced Pro 2 карбон,43 706 грн.,Б/у,2020-02-22,Киев,Деснянский,"50.5186, 30.62532",Алексей,,https://www.olx.ua/d/obyavlenie/tsiklokross-gravel-giant-tcx-advanced-pro-2-karbon-IDH8AjS.html
Giant Advanced 2 PC 2021. Шоссер шосер карбон гравел,44 000 грн.,Б/у,2022-02-20,Самбор,,"49.52071, 23.20655",Роман,,https://www.olx.ua/d/obyavlenie/giant-advanced-2-pc-2021-shosser-shoser-karbon-gravel-IDOebvh.html
Гравел Scott spidster10 (М),34 600 грн.,Б/у,2022-05-30,Белки,,"48.32948, 23.11653",артур,,https://www.olx.ua/d/obyavlenie/gravel-scott-spidster10-m-IDOK8zZ.html
Cannondale topstone 3 gravel Sora гравел велосипед,37 000 грн.,Б/у,2022-06-02,Бровары,,"50.50568, 30.77972",Anthony,,https://www.olx.ua/d/obyavlenie/cannondale-topstone-3-gravel-sora-gravel-velosiped-IDOMd05.html
"Циклокросс Canyon Inflite AL 9.0 p.XL (gravel,гравел,грейвл,гравийник)",37 652 грн.,Б/у,2022-03-20,Ивано-Франковск,,"48.91819, 24.71343",VeloPark,,https://www.olx.ua/d/obyavlenie/tsiklokross-canyon-inflite-al-9-0-p-xl-gravel-gravel-greyvl-graviynik-IDOiONj.html
Велосипед Cube Nuroad Race FE 2020. Scott Trek Giant Specialized GT YT,44 001 грн.,Б/у,2021-06-03,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/velosiped-cube-nuroad-race-fe2020-scott-trek-giant-specialized-gt-yt-IDLOjjK.html
Гравел Trek 920 2021 Scott Cube Giant Specialized Cannondale Canyon GT,44 297 грн.,Б/у,2021-06-26,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/gravel-trek-920-2021-scott-cube-giant-specialized-cannondale-canyon-gt-IDM1yhg.html
Canyon Grail Al 7.0 2020,44 297 грн.,Б/у,2021-12-10,Харьков,Слободской,"49.93914, 36.28963",Андрей,"Чехлы,ковры,диски,шины.",https://www.olx.ua/d/obyavlenie/canyon-grail-al-7-0-2020-IDNAugO.html
Велосипед Gravel Cube Nuroad Scott specialized Merida canyon ktm,44 800 грн.,Б/у,2022-03-17,Киев,Днепровский,"50.45964, 30.61717",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-scott-specialized-merida-canyon-ktm-IDOih2l.html
Велосипед Marin DSX1 размер s монстер кросс гравел gravel гревел байк,45 000 грн.,Б/у,2022-06-01,Софиевская Борщаговка,,"50.41437, 30.36408",Ola,,https://www.olx.ua/d/obyavlenie/velosiped-marin-dsx1-razmer-s-monster-kross-gravel-gravel-grevel-bayk-IDOLZSd.html
Гравийный велосипед KTM X-STRADA 720 cube trek scott cannondale canyon,45 773 грн.,Б/у,2021-06-17,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-ktm-x-strada-720-cube-trek-scott-cannondale-canyon-IDLVVZ3.html
"E-Bike, електро Giant 2021 не cube, trek, scott, haibike, focus, ghost",45 950 грн.,Б/у,2022-02-23,Ивано-Франковск,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/obyavlenie/e-bike-elektro-giant-2021-ne-cube-trek-scott-haibike-focus-ghost-IDOgrvd.html
Топовий гравійний велосипед BMC Sram rival,45 950 грн.,Б/у,2022-05-05,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/topoviy-gravyniy-velosiped-bmc-sram-rival-IDOy6HA.html
Електровелосипед  Giant ( 2021) cube trek scott haibike,45 950 грн.,Б/у,2022-05-05,Ивано-Франковск,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/obyavlenie/elektrovelosiped-giant-2021-cube-trek-scott-haibike-IDOymuB.html
Гравел Serious Gravix Pro 2021 Cube Giant Scott Specialized Canyon GT,46 200 грн.,Б/у,2021-09-19,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/gravel-serious-gravix-pro-2021-cube-giant-scott-specialized-canyon-gt-IDMMIzV.html
Гравел Stevens Gavere GRX гравийный велосипед циклокросс из Германии,37 900 грн.,Б/у,2022-02-03,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/gravel-stevens-gavere-grx-graviynyy-velosiped-tsiklokross-iz-germanii-IDO436D.html
Corratec  Gravel (2020)  Trek cube Sram Rival 1 елекро гравел scott,57 000 грн.,Б/у,2022-04-18,Ивано-Франковск,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/obyavlenie/corratec-gravel-2020-trek-cube-sram-rival-1-elekro-gravel-scott-IDOroFL.html
29x3.0 Salsa Fargo Custom гравийный монстеркросс гравел гравийник,99 999 грн.,Б/у,2022-04-09,Хмельницкий,,"49.40611, 27.0045",Продавец,,https://www.olx.ua/d/obyavlenie/29x3-0-salsa-fargo-custom-graviynyy-monsterkross-gravel-graviynik-IDOnYZP.html
Gravel велосипед Specialized Diverge E5 GRX (2021),46 200 грн.,Б/у,2022-05-13,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/gravel-velosiped-specialized-diverge-e5-grx-2021-IDOBVdy.html
Велосипед Gravel Cube Nuroad FE(2021) canyon rondo trek merida ktm grx,47 250 грн.,Б/у,2021-08-19,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-fe2021-canyon-rondo-trek-merida-ktm-grx-IDMuBsx.html
Велосипед Cube Cross Race gravel циклокросс specialized trek scott ktm,47 250 грн.,Б/у,2021-10-01,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-cube-cross-race-gravel-tsiklokross-specialized-trek-scott-ktm-IDMTXu7.html
Велосипед Gravel Cube Nuroad 2021 гравел scott cannondale rondo merida,47 250 грн.,Б/у,2021-10-01,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-2021-gravel-scott-cannondale-rondo-merida-IDMU4w7.html
Велосипед SCOTT Speedster Gravel 20 Trek Cube Giant Specialized Canyon,47 250 грн.,Б/у,2021-09-11,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/velosiped-scott-speedster-gravel-20-trek-cube-giant-specialized-canyon-IDMI2F0.html
Велосипед Rondo Ruut Tanger gravel scott cube specialized cmerida ktm,47 250 грн.,Б/у,2021-10-01,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-rondo-ruut-tanger-gravel-scott-cube-specialized-cmerida-ktm-IDMU8Yt.html
Електро E-bike 2021 Giant trek scott cube ktm haibike,47 500 грн.,Б/у,2022-03-20,Ивано-Франковск,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/obyavlenie/elektro-e-bike-2021-giant-trek-scott-cube-ktm-haibike-IDOiNh1.html
Велосипед гравел Cube NUROAD RACE FE (2021) ЯК НОВИЙ,49 500 грн.,Б/у,2022-05-30,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-race-fe-2021-yak-noviy-IDOKp72.html
